T(K),Cp_Thiswork
4146.0,33.15157808781048
4147.0,33.15227422273579
4148.0,33.15296983374546
4149.0,33.153664920824966
4150.0,33.154359480950234
4151.0,33.15505351711198
4152.0,33.155747026288445
4153.0,33.15644001147919
4154.0,33.15713247267024
4155.0,33.15782440683636
4156.0,33.15851581697546
4157.0,33.1592067000677
4158.0,33.1598970591061
4159.0,33.160586894080716
4160.0,33.161276201972
4161.0,33.16196498577307
4162.0,33.1626532424664
4163.0,33.163340975050716
4164.0,33.16402818351578
4165.0,33.164714864838764
4166.0,33.16540102202122
4167.0,33.166086652038395
4168.0,33.16677175789904
4169.0,33.167456339588114
4170.0,33.1681403940885
4171.0,33.16882392138536
4172.0,33.16950692749308
4173.0,33.170189406389014
4174.0,33.170871358055955
4175.0,33.17155278550279
4176.0,33.172233688718244
4177.0,33.172914067693185
4178.0,33.173593919410536
4179.0,33.17427324386471
4180.0,33.174952044062245
4181.0,33.175630319989196
4182.0,33.176308071644996
4183.0,33.17698529601019
4184.0,33.17766199307493
4185.0,33.178338165855955
4186.0,33.17901381433734
4187.0,33.17968893851663
4188.0,33.18036353537936
4189.0,33.181037604923176
4190.0,33.181711153157764
4191.0,33.182384171050764
4192.0,33.183056667634915
4193.0,33.183728636873276
4194.0,33.18440008178462
4195.0,33.18507099935208
4196.0,33.18574139257674
4197.0,33.1864112584558
4198.0,33.18708059999349
4199.0,33.187749417181024
4200.0,33.18841770701057
4201.0,33.189085472493765
4202.0,33.18975271362298
4203.0,33.190419427388456
4204.0,33.19108561680552
4205.0,33.191751278855016
4206.0,33.192416416550145
4207.0,33.19308102989181
4208.0,33.19374511586515
4209.0,33.194408677488
4210.0,33.19507171173798
4211.0,33.19573422164105
4212.0,33.19639620718369
4213.0,33.19705766536859
4214.0,33.197718599200094
4215.0,33.19837900867942
4216.0,33.19903889080589
4217.0,33.199698245573074
4218.0,33.20035707900672
4219.0,33.20101538508697
4220.0,33.201673163822555
4221.0,33.202330421230364
4222.0,33.20298714828995
4223.0,33.203643354024074
4224.0,33.20429903242505
4225.0,33.20495418349432
4226.0,33.20560881325696
4227.0,33.20626291268697
4228.0,33.206916490818514
4229.0,33.20756954163261
4230.0,33.20822206815281
4231.0,33.20887406737064
4232.0,33.20952554229558
4233.0,33.21017649294127
4234.0,33.210826916302324
4235.0,33.21147681538912
4236.0,33.212126187212576
4237.0,33.21277503477058
4238.0,33.21342335808028
4239.0,33.21407115414145
4240.0,33.214718425964755
4241.0,33.21536517356141
4242.0,33.21601139392991
4243.0,33.216657090089484
4244.0,33.217302259032245
4245.0,33.217946903781126
4246.0,33.21859102434482
4247.0,33.21923461772673
4248.0,33.219877686939626
4249.0,33.22052023198962
4250.0,33.22116224988953
4251.0,33.2218037406418
4252.0,33.22244471026913
4253.0,33.22308515277624
4254.0,33.223725068164626
4255.0,33.22436446246684
4256.0,33.22500332667085
4257.0,33.22564166980157
4258.0,33.226279485872894
4259.0,33.22691677788581
4260.0,33.22755354285833
4261.0,33.22818978380282
4262.0,33.22882550073416
4263.0,33.22946069066065
4264.0,33.23009535659443
4265.0,33.230729495551444
4266.0,33.23136311054334
4267.0,33.23199620159238
4268.0,33.23262876570028
4269.0,33.233260805889834
4270.0,33.23389232217255
4271.0,33.23452331156151
4272.0,33.235153777072114
4273.0,33.23578371872273
4274.0,33.236413133521644
4275.0,33.237042021488975
4276.0,33.237670388649285
4277.0,33.238298228999575
4278.0,33.23892554556855
4279.0,33.2395523353742
4280.0,33.24017860142567
4281.0,33.24080434074759
4282.0,33.24142955634669
4283.0,33.24205424825075
4284.0,33.24267841347534
4285.0,33.2433020580367
4286.0,33.24392517295131
4287.0,33.244547764236195
4288.0,33.24516983191833
4289.0,33.24579137600816
4290.0,33.246412393522405
4291.0,33.24703288749246
4292.0,33.2476528549259
4293.0,33.24827229884653
4294.0,33.24889121927618
4295.0,33.249509613231496
4296.0,33.250127483736094
4297.0,33.250744830811996
4298.0,33.251361651476884
4299.0,33.25197794874909
4300.0,33.2525937196515
4301.0,33.25320896721294
4302.0,33.253823691445135
4303.0,33.25443788937835
4304.0,33.25505156402274
4305.0,33.255664715419016
4306.0,33.256277340571415
4307.0,33.25688944251161
4308.0,33.2575010212653
4309.0,33.25811207384994
4310.0,33.25872260329001
4311.0,33.2593326066165
4312.0,33.2599420868373
4313.0,33.26055104399646
4314.0,33.26115947510581
4315.0,33.26176738319238
4316.0,33.26237476828446
4317.0,33.2629816273986
4318.0,33.26358796356718
4319.0,33.264193773815535
4320.0,33.26479906116357
4321.0,33.26540382564987
4322.0,33.26600806428576
4323.0,33.2666117801101
4324.0,33.26721497314495
4325.0,33.26781764040997
4326.0,33.26841978494542
4327.0,33.26902140677131
4328.0,33.26962250291387
4329.0,33.27022307640158
4330.0,33.2708231242638
4331.0,33.27142264952547
4332.0,33.272021652226215
4333.0,33.27262012937745
4334.0,33.27321808402371
4335.0,33.27381551618685
4336.0,33.2744124228966
4337.0,33.275008807184655
4338.0,33.27560466907653
4339.0,33.27620000560197
4340.0,33.27679481979895
4341.0,33.27738910868882
4342.0,33.277982875309156
4343.0,33.27857611968665
4344.0,33.27916883885373
4345.0,33.279761035840856
4346.0,33.2803527106888
4347.0,33.28094386040973
4348.0,33.28153448805233
4349.0,33.28212459364656
4350.0,33.28271417421792
4351.0,33.28330323280086
4352.0,33.28389176642724
4353.0,33.28447977813955
4354.0,33.28506726796069
4355.0,33.28565423292815
4356.0,33.2862406760793
4357.0,33.286826597440225
4358.0,33.28741199405088
4359.0,33.2879968689477
4360.0,33.2885812221596
4361.0,33.28916505071838
4362.0,33.28974835767042
4363.0,33.29033114003753
4364.0,33.29091340086639
4365.0,33.29149514019295
4366.0,33.29207635503999
4367.0,33.29265704845832
4368.0,33.29323722047876
4369.0,33.29381686813047
4370.0,33.294395994467216
4371.0,33.29497459951413
4372.0,33.29555268030553
4373.0,33.296130239884356
4374.0,33.29670727528867
4375.0,33.2972837895532
4376.0,33.297859782722064
4377.0,33.29843525182455
4378.0,33.29901019990261
4379.0,33.29958462700551
4380.0,33.30015853015831
4381.0,33.30073191240237
4382.0,33.30130477378833
4383.0,33.3018771113391
